10
3
0 0 0.258 0.418
0.258 0.256 0.1984 0.4616
0.4564 0 0.3244 0.8612
5
0 0 0.1628 0.3816
0 0.5896 0.1628 0.2436
0.1628 0 0.0696 0.938
0.2324 0 0.1252 0.3816
0.2324 0.49 0.2884 0.302
6
0 0.1032 0.3176 0.3448
0 0.6052 0.3176 0.3012
0.3176 0 0.282 0.9064
0.5996 0 0.2312 0.1032
0.6336 0.6052 0.1972 0.3012
0.8308 0 0.1456 0.9064
3
0 0 0.3852 0.6532
0.3852 0 0.3904 0.9264
0.7756 0.2956 0.1624 0.3576
4
0 0.3932 0.0252 0.4932
0.0252 0.6284 0.3728 0.258
0.398 0.3932 0.3732 0.4932
0.7712 0 0.1828 0.6284
1
0 0 0.7772 0.036
5
0 0.5208 0.144 0.0952
0.144 0 0.0524 0.616
0.1964 0.5208 0.2924 0.3612
0.4888 0.3584 0.1572 0.5236
0.646 0.3584 0.1316 0.1624
4
0 0 0.0484 0.7368
0.0484 0.2176 0.044 0.4148
0.0924 0 0.356 0.7368
0.4484 0.6116 0.3444 0.0208
5
0 0 0.2988 0.9956
0.2988 0.3112 0.3464 0.6844
0.6452 0.0264 0.054 0.9692
0.6992 0.0264 0.2544 0.2848
0.6992 0.6832 0.1464 0.1752
3
0 0.0128 0.3656 0.336
0.3656 0 0.2872 0.3488
0.6528 0 0.124 0.9116
1.32415
