15
2
0 0 0.15065 0.55247
0.15065 0.26298 0.1612 0.28949
2
0 0 0.19408 0.06217
0.19408 0 0.02146 0.25951
2
0 0.26434 0.01852 0.06694
0.01852 0 0.23785 0.33128
2
0 0 0.30832 0.32905
0.30832 0 0.29797 0.1925
2
0 0 0.31545 0.34598
0.31545 0.30632 0.0425 0.03966
2
0 0 0.2432 0.2737
0.2432 0 0.10831 0.56658
2
0 0 0.28349 0.13641
0.28349 0 0.20994 0.41289
2
0 0 0.18993 0.39328
0.18993 0 0.21477 0.17938
2
0 0 0.20745 0.13098
0.20745 0 0.09487 0.31394
2
0 0 0.32463 0.10504
0.32463 0 0.12288 0.00731
2
0 0 0.03799 0.02907
0.03799 0 0.20716 0.32378
2
0 0 0.08587 0.29445
0.08587 0.04623 0.18027 0.24822
2
0 0.01182 0.3091 0.27747
0.3091 0 0.06527 0.28929
2
0 0 0.18169 0.08083
0.18169 0 0.06154 0.0008
2
0 0 0.0354 0.47663
0.0354 0.28745 0.32561 0.18918
0.753551
